maxD_in,tOff_in,sdD_in,tOn_in
10,1291,1.0,5.455594781168514
10,1291,1.0,10.0
10,1291,10.75,0.0001
10,1291,10.75,0.00018329807108324357
10,1291,10.75,0.0003359818286283781
10,1291,10.75,0.0006158482110660267
10,1291,10.75,0.0011288378916846883
10,1291,10.75,0.00206913808111479
10,1291,10.75,0.00379269019073225
10,1291,10.75,0.0069519279617756054
10,1291,10.75,0.012742749857031334
10,1291,10.75,0.023357214690901212
10,1291,10.75,0.04281332398719392
10,1291,10.75,0.07847599703514607
10,1291,10.75,0.14384498882876628
10,1291,10.75,0.26366508987303583
10,1291,10.75,0.4832930238571752
10,1291,10.75,0.8858667904100823
10,1291,10.75,1.623776739188721
10,1291,10.75,2.9763514416313193
10,1291,10.75,5.455594781168514
10,1291,10.75,10.0
10,1291,20.5,0.0001
10,1291,20.5,0.00018329807108324357
10,1291,20.5,0.0003359818286283781
10,1291,20.5,0.0006158482110660267
10,1291,20.5,0.0011288378916846883
10,1291,20.5,0.00206913808111479
10,1291,20.5,0.00379269019073225
10,1291,20.5,0.0069519279617756054
10,1291,20.5,0.012742749857031334
10,1291,20.5,0.023357214690901212
10,1291,20.5,0.04281332398719392
10,1291,20.5,0.07847599703514607
10,1291,20.5,0.14384498882876628
10,1291,20.5,0.26366508987303583
10,1291,20.5,0.4832930238571752
10,1291,20.5,0.8858667904100823
10,1291,20.5,1.623776739188721
10,1291,20.5,2.9763514416313193
10,1291,20.5,5.455594781168514
10,1291,20.5,10.0
10,1291,30.25,0.0001
10,1291,30.25,0.00018329807108324357
10,1291,30.25,0.0003359818286283781
10,1291,30.25,0.0006158482110660267
10,1291,30.25,0.0011288378916846883
10,1291,30.25,0.00206913808111479
10,1291,30.25,0.00379269019073225
10,1291,30.25,0.0069519279617756054
10,1291,30.25,0.012742749857031334
10,1291,30.25,0.023357214690901212
10,1291,30.25,0.04281332398719392
10,1291,30.25,0.07847599703514607
10,1291,30.25,0.14384498882876628
10,1291,30.25,0.26366508987303583
10,1291,30.25,0.4832930238571752
10,1291,30.25,0.8858667904100823
10,1291,30.25,1.623776739188721
10,1291,30.25,2.9763514416313193
10,1291,30.25,5.455594781168514
10,1291,30.25,10.0
10,1291,40.0,0.0001
10,1291,40.0,0.00018329807108324357
10,1291,40.0,0.0003359818286283781
10,1291,40.0,0.0006158482110660267
10,1291,40.0,0.0011288378916846883
10,1291,40.0,0.00206913808111479
10,1291,40.0,0.00379269019073225
10,1291,40.0,0.0069519279617756054
10,1291,40.0,0.012742749857031334
10,1291,40.0,0.023357214690901212
10,1291,40.0,0.04281332398719392
10,1291,40.0,0.07847599703514607
10,1291,40.0,0.14384498882876628
10,1291,40.0,0.26366508987303583
10,1291,40.0,0.4832930238571752
10,1291,40.0,0.8858667904100823
10,1291,40.0,1.623776739188721
10,1291,40.0,2.9763514416313193
10,1291,40.0,5.455594781168514
10,1291,40.0,10.0
10,2154,1.0,0.0001
10,2154,1.0,0.00018329807108324357
10,2154,1.0,0.0003359818286283781
10,2154,1.0,0.0006158482110660267
10,2154,1.0,0.0011288378916846883
10,2154,1.0,0.00206913808111479
10,2154,1.0,0.00379269019073225
10,2154,1.0,0.0069519279617756054
10,2154,1.0,0.012742749857031334
10,2154,1.0,0.023357214690901212
10,2154,1.0,0.04281332398719392
10,2154,1.0,0.07847599703514607
10,2154,1.0,0.14384498882876628
10,2154,1.0,0.26366508987303583
10,2154,1.0,0.4832930238571752
10,2154,1.0,0.8858667904100823
10,2154,1.0,1.623776739188721
10,2154,1.0,2.9763514416313193
10,2154,1.0,5.455594781168514
10,2154,1.0,10.0
10,2154,10.75,0.0001
10,2154,10.75,0.00018329807108324357
10,2154,10.75,0.0003359818286283781
10,2154,10.75,0.0006158482110660267
10,2154,10.75,0.0011288378916846883
10,2154,10.75,0.00206913808111479
10,2154,10.75,0.00379269019073225
10,2154,10.75,0.0069519279617756054
10,2154,10.75,0.012742749857031334
10,2154,10.75,0.023357214690901212
10,2154,10.75,0.04281332398719392
10,2154,10.75,0.07847599703514607
10,2154,10.75,0.14384498882876628
10,2154,10.75,0.26366508987303583
10,2154,10.75,0.4832930238571752
10,2154,10.75,0.8858667904100823
10,2154,10.75,1.623776739188721
10,2154,10.75,2.9763514416313193
10,2154,10.75,5.455594781168514
10,2154,10.75,10.0
10,2154,20.5,0.0001
10,2154,20.5,0.00018329807108324357
10,2154,20.5,0.0003359818286283781
10,2154,20.5,0.0006158482110660267
10,2154,20.5,0.0011288378916846883
10,2154,20.5,0.00206913808111479
10,2154,20.5,0.00379269019073225
10,2154,20.5,0.0069519279617756054
10,2154,20.5,0.012742749857031334
10,2154,20.5,0.023357214690901212
10,2154,20.5,0.04281332398719392
10,2154,20.5,0.07847599703514607
10,2154,20.5,0.14384498882876628
10,2154,20.5,0.26366508987303583
10,2154,20.5,0.4832930238571752
10,2154,20.5,0.8858667904100823
10,2154,20.5,1.623776739188721
10,2154,20.5,2.9763514416313193
10,2154,20.5,5.455594781168514
10,2154,20.5,10.0
10,2154,30.25,0.0001
10,2154,30.25,0.00018329807108324357
10,2154,30.25,0.0003359818286283781
10,2154,30.25,0.0006158482110660267
10,2154,30.25,0.0011288378916846883
10,2154,30.25,0.00206913808111479
10,2154,30.25,0.00379269019073225
10,2154,30.25,0.0069519279617756054
10,2154,30.25,0.012742749857031334
10,2154,30.25,0.023357214690901212
10,2154,30.25,0.04281332398719392
10,2154,30.25,0.07847599703514607
10,2154,30.25,0.14384498882876628
10,2154,30.25,0.26366508987303583
10,2154,30.25,0.4832930238571752
10,2154,30.25,0.8858667904100823
10,2154,30.25,1.623776739188721
10,2154,30.25,2.9763514416313193
10,2154,30.25,5.455594781168514
10,2154,30.25,10.0
10,2154,40.0,0.0001
10,2154,40.0,0.00018329807108324357
10,2154,40.0,0.0003359818286283781
10,2154,40.0,0.0006158482110660267
10,2154,40.0,0.0011288378916846883
10,2154,40.0,0.00206913808111479
10,2154,40.0,0.00379269019073225
10,2154,40.0,0.0069519279617756054
10,2154,40.0,0.012742749857031334
10,2154,40.0,0.023357214690901212
10,2154,40.0,0.04281332398719392
10,2154,40.0,0.07847599703514607
10,2154,40.0,0.14384498882876628
10,2154,40.0,0.26366508987303583
10,2154,40.0,0.4832930238571752
10,2154,40.0,0.8858667904100823
10,2154,40.0,1.623776739188721
10,2154,40.0,2.9763514416313193
10,2154,40.0,5.455594781168514
10,2154,40.0,10.0
10,3593,1.0,0.0001
10,3593,1.0,0.00018329807108324357
10,3593,1.0,0.0003359818286283781
10,3593,1.0,0.0006158482110660267
10,3593,1.0,0.0011288378916846883
10,3593,1.0,0.00206913808111479
10,3593,1.0,0.00379269019073225
10,3593,1.0,0.0069519279617756054
10,3593,1.0,0.012742749857031334
10,3593,1.0,0.023357214690901212
10,3593,1.0,0.04281332398719392
10,3593,1.0,0.07847599703514607
10,3593,1.0,0.14384498882876628
10,3593,1.0,0.26366508987303583
10,3593,1.0,0.4832930238571752
10,3593,1.0,0.8858667904100823
10,3593,1.0,1.623776739188721
10,3593,1.0,2.9763514416313193
10,3593,1.0,5.455594781168514
10,3593,1.0,10.0
10,3593,10.75,0.0001
10,3593,10.75,0.00018329807108324357
10,3593,10.75,0.0003359818286283781
10,3593,10.75,0.0006158482110660267
10,3593,10.75,0.0011288378916846883
10,3593,10.75,0.00206913808111479
10,3593,10.75,0.00379269019073225
10,3593,10.75,0.0069519279617756054
10,3593,10.75,0.012742749857031334
10,3593,10.75,0.023357214690901212
10,3593,10.75,0.04281332398719392
10,3593,10.75,0.07847599703514607
10,3593,10.75,0.14384498882876628
10,3593,10.75,0.26366508987303583
10,3593,10.75,0.4832930238571752
10,3593,10.75,0.8858667904100823
10,3593,10.75,1.623776739188721
10,3593,10.75,2.9763514416313193
10,3593,10.75,5.455594781168514
10,3593,10.75,10.0
10,3593,20.5,0.0001
10,3593,20.5,0.00018329807108324357
10,3593,20.5,0.0003359818286283781
10,3593,20.5,0.0006158482110660267
10,3593,20.5,0.0011288378916846883
10,3593,20.5,0.00206913808111479
10,3593,20.5,0.00379269019073225
10,3593,20.5,0.0069519279617756054
10,3593,20.5,0.012742749857031334
10,3593,20.5,0.023357214690901212
10,3593,20.5,0.04281332398719392
10,3593,20.5,0.07847599703514607
10,3593,20.5,0.14384498882876628
10,3593,20.5,0.26366508987303583
10,3593,20.5,0.4832930238571752
10,3593,20.5,0.8858667904100823
10,3593,20.5,1.623776739188721
10,3593,20.5,2.9763514416313193
10,3593,20.5,5.455594781168514
10,3593,20.5,10.0
10,3593,30.25,0.0001
10,3593,30.25,0.00018329807108324357
10,3593,30.25,0.0003359818286283781
10,3593,30.25,0.0006158482110660267
10,3593,30.25,0.0011288378916846883
10,3593,30.25,0.00206913808111479
10,3593,30.25,0.00379269019073225
10,3593,30.25,0.0069519279617756054
10,3593,30.25,0.012742749857031334
10,3593,30.25,0.023357214690901212
10,3593,30.25,0.04281332398719392
10,3593,30.25,0.07847599703514607
10,3593,30.25,0.14384498882876628
10,3593,30.25,0.26366508987303583
10,3593,30.25,0.4832930238571752
10,3593,30.25,0.8858667904100823
10,3593,30.25,1.623776739188721
10,3593,30.25,2.9763514416313193
10,3593,30.25,5.455594781168514
10,3593,30.25,10.0
10,3593,40.0,0.0001
10,3593,40.0,0.00018329807108324357
10,3593,40.0,0.0003359818286283781
10,3593,40.0,0.0006158482110660267
10,3593,40.0,0.0011288378916846883
10,3593,40.0,0.00206913808111479
10,3593,40.0,0.00379269019073225
10,3593,40.0,0.0069519279617756054
10,3593,40.0,0.012742749857031334
10,3593,40.0,0.023357214690901212
10,3593,40.0,0.04281332398719392
10,3593,40.0,0.07847599703514607
10,3593,40.0,0.14384498882876628
10,3593,40.0,0.26366508987303583
10,3593,40.0,0.4832930238571752
10,3593,40.0,0.8858667904100823
10,3593,40.0,1.623776739188721
10,3593,40.0,2.9763514416313193
10,3593,40.0,5.455594781168514
10,3593,40.0,10.0
10,5994,1.0,0.0001
10,5994,1.0,0.00018329807108324357
10,5994,1.0,0.0003359818286283781
10,5994,1.0,0.0006158482110660267
10,5994,1.0,0.0011288378916846883
10,5994,1.0,0.00206913808111479
10,5994,1.0,0.00379269019073225
10,5994,1.0,0.0069519279617756054
10,5994,1.0,0.012742749857031334
10,5994,1.0,0.023357214690901212
10,5994,1.0,0.04281332398719392
10,5994,1.0,0.07847599703514607
10,5994,1.0,0.14384498882876628
